,gender,age,cust_id,income,member_year,member_month,member_day,gender_label
0,F,55,0610b486422d4921ae7d2bf64640c50b,112000.0,2017,7,15,1
1,F,75,78afa995795e4d85b5d9ceeca43f5fef,100000.0,2017,5,9,1
2,M,68,e2127556f4f64592b11af22de27a7932,70000.0,2018,4,26,2
3,M,65,389bc3fa690240e798340f5a15918d5c,53000.0,2018,2,9,2
4,M,58,2eeac8d8feae4a8cad5a6af0499a211d,51000.0,2017,11,11,2
5,F,61,aa4862eba776480b8bb9c68455b8c2e1,57000.0,2017,9,11,1
6,M,26,e12aeaf2d47d42479ea1c4ac3d8286c6,46000.0,2014,2,13,2
7,F,62,31dda685af34476cad5bc968bdb01c53,71000.0,2016,2,11,1
8,M,49,62cf5e10845442329191fc246e7bcea3,52000.0,2014,11,13,2
9,M,57,6445de3b47274c759400cd68131d91b4,42000.0,2017,12,31,2
10,F,61,a448667f336b42c9a66fc5ffd5d73772,40000.0,2018,5,1,1
11,F,40,440cf1fd7580490c971d8c651ed962af,71000.0,2016,5,4,1
12,M,64,4b0da7e80e5945209a1fdddfe813dbe0,100000.0,2017,9,9,2
13,F,78,c27e0d6ab72c455a8bb66d980963de60,71000.0,2017,6,16,1
14,M,42,f806632c011441378d4646567f357a21,69000.0,2013,8,11,2
15,F,56,d058f73bf8674a26a95227db098147b1,88000.0,2018,4,28,1
16,F,33,c6c9884912c645429f3333f912b55f44,52000.0,2017,9,26,1
17,F,46,7429a044884842d6862f516c38b1156f,59000.0,2017,9,11,1
18,M,59,ebe7ef46ea6f4963a7dd49f501b26779,41000.0,2015,1,21,2
19,M,67,5917d13f6fa04286abdf95f4d5cefb1e,96000.0,2014,8,23,2
20,O,53,d1ede868e29245ea91818a903fec04c6,52000.0,2017,9,16,3
21,M,22,1e9420836d554513ab90eba98552d0a9,70000.0,2017,9,25,2
22,F,96,868317b9be554cb18e50bc68484749a2,89000.0,2017,11,17,1
23,M,40,f082d80f0aac47a99173ba8ef8fc1909,33000.0,2016,7,9,2
24,F,69,102e9454054946fda62242d2e176fdce,57000.0,2016,8,14,1
25,M,56,8dabe2142cdf4013a6f4786edf8ab00f,68000.0,2014,5,11,2
26,F,26,9f30b375d7bd4c62a884ffe7034e09ee,63000.0,2017,8,12,1
27,M,75,6e014185620b49bd98749f728747572f,40000.0,2015,11,12,2
28,F,20,02c083884c7d45b39cc68e1314fec56c,30000.0,2016,7,11,1
29,M,45,c0d210398dee4a0895b24444a5fcd1d2,33000.0,2018,7,7,2
30,M,61,8b70ca1f5f5a45bdac2ac2f990b71526,98000.0,2017,11,21,2
31,F,69,8e7c7465e98c43d8a01f51e2b5c29542,37000.0,2013,9,18,1
32,F,54,57dd18ec5ddc46828afb81ec5977bef2,80000.0,2017,2,7,1
33,M,39,be8a5d1981a2458d90b255ddc7e0d174,51000.0,2014,5,27,2
34,F,41,3f89b8f80ebc4f94b7074f28071aa8d4,41000.0,2015,9,21,1
35,F,79,a3b9b4bf115e4564933ea2e4bc936843,48000.0,2015,4,15,1
36,F,66,7584948ea6d04f94b8798624706261c2,38000.0,2018,4,8,1
37,F,56,e9844d5beac04bf8b8d3ad18f7e37fca,52000.0,2017,6,26,1
38,F,39,f247806381704ea58c1b06f60602a6ae,56000.0,2014,7,23,1
39,M,42,9fa9ae8f57894cc9a3b8a9bbe0fc1b2f,96000.0,2016,1,17,2
40,F,78,fe8264108d5b4f198453bbb1fa7ca6c9,93000.0,2016,10,9,1
41,M,45,186d6403f5824c739555b732f4af3f16,48000.0,2017,10,6,2
42,M,29,8a87fda1a6644337b4394a4c3cd0946c,50000.0,2016,4,30,2
43,M,44,b7a66e629b134079a9bc7120c7b9947b,35000.0,2017,9,24,2
44,M,63,ca82e1ebc759402c8ab95c341755bdf1,56000.0,2018,7,13,2
45,M,36,54890f68699049c2a04d415abc25e717,56000.0,2017,12,28,2
46,F,76,ab66a363907e43e9a7cd535f1578245b,47000.0,2018,3,14,1
47,M,68,d3f146b615514c6380b168bb3df5f05b,87000.0,2017,8,23,2
48,M,75,a5a6ef2b78a04ddc9f374dd7c7f60bff,52000.0,2015,11,29,2
49,M,67,2e87ba0fba1a4d1a8614af771f07a94d,76000.0,2017,2,26,2
50,M,77,d8af520c4a8a4c77b921098d7d838c4d,51000.0,2016,7,30,2
51,M,76,39dbcf43e24d41f4bbf0f134157e0e1e,64000.0,2014,8,31,2
52,M,57,b62e66ca4dcf4df39fd522e750a88d81,98000.0,2018,2,7,2
53,F,53,8c7df0c393db488aac3e58b06a7ea5f9,72000.0,2016,7,6,1
54,F,53,3a1242dda16248728e350c4bdeb21972,117000.0,2016,12,31,1
55,F,53,8045834137dc47faa24f2c4547969f33,55000.0,2017,10,26,1
56,F,61,fb98ebe9e3e14afaa5b5db182b00b7ec,112000.0,2017,11,10,1
57,F,67,5cd6577aca5d4b419e452f9f505ffce7,77000.0,2016,9,10,1
58,F,58,99e9a1916821461ebd5d5048dc2dff7d,85000.0,2018,1,25,1
59,F,46,e528ceb341964128aaf58a59733ec2af,36000.0,2018,6,29,1
60,M,30,faf74115a43b4f718f4d4c0de116ee8a,41000.0,2017,12,2,2
61,M,59,0b73997a269247088b2a63355f53ee58,89000.0,2017,8,20,2
62,M,51,f44b44b53c0548d5b27c812fda4c358a,41000.0,2015,12,31,2
63,M,27,6e04a90a0e074496b5f229eb1f553433,35000.0,2018,1,10,2
64,M,40,262ad0fb526a4d53b572007da60cce24,53000.0,2018,2,27,2
65,F,73,a2b7a0b3487a4d779ddf4e11a034e2ee,91000.0,2018,4,19,1
66,F,74,2c5c63e5124e417b8504f76c868a4190,107000.0,2015,12,24,1
67,M,42,9d6da0a2ac54474e8ec986fd21cecef0,66000.0,2015,11,21,2
68,M,78,571b739ada3041fb8fbd20f23ce034f7,58000.0,2015,11,11,2
69,F,54,816afd4505d047cf893275fbfe825590,53000.0,2016,12,25,1
70,F,70,13b7b2eccf664a329d83d2a238a9a11d,74000.0,2018,6,13,1
71,F,49,68eee228713c429ebe1300155ad1fb33,57000.0,2017,4,8,1
72,F,62,ffc6c9fbe34b4578911dcdf6745b4c74,57000.0,2018,4,10,1
73,M,64,cbebad9819494b479dbf0c1207b4c0c5,70000.0,2017,3,5,2
74,F,89,4264b1d027cc493281bba4f44bfedaca,87000.0,2017,11,14,1
75,M,73,0ba6e2ad781c4429afd26cf0b35f2d11,51000.0,2018,4,1,2
76,F,50,b5abc1e85be84f43937b4fca0ad238cb,93000.0,2017,5,6,1
77,F,90,1c587de019994f93a242c6864fd7bc55,98000.0,2015,12,10,1
78,F,68,3f4e408b0b2d4ea89dd16d7437d867c1,84000.0,2016,7,31,1
79,M,60,13bda8fbd70a4814b956df1d55320398,64000.0,2017,2,6,2
80,M,45,b19c8e7ac2ff40ae92b4fcf3247f8912,54000.0,2017,8,15,2
81,M,66,21c73d53e2a74bb1b4dc172bff2b1aad,49000.0,2016,1,24,2
82,F,19,1abeb816d9fa49b4b5b5ae51bc3d24c3,73000.0,2016,10,15,1
83,F,66,92e07c49ee7448fca6e48df0c96e3eec,58000.0,2018,2,16,1
84,F,72,f8aedd0cbea0419c806842b4265b82e5,72000.0,2016,8,11,1
85,M,76,a9780228a1d04539afdee8b745e4be10,63000.0,2016,4,7,2
86,M,52,94f14dcfedba47e18b7efca13dd7574b,78000.0,2017,5,15,2
87,M,55,8a4bc602e4424ab6b16f0b907f2f22af,31000.0,2017,12,10,2
88,F,39,6d28f18e91324d358d69d1e4b01f1ace,60000.0,2017,9,19,1
89,F,45,52f0bd64403f4958ab8fe9a6947c13c3,44000.0,2016,1,26,1
90,F,57,93e67942586e43fb87d5ffb1ead8db41,114000.0,2017,7,4,1
91,M,74,e641af076cc54529bec6ab61fc25f4a6,48000.0,2018,7,12,2
92,M,18,716a961d2afb4c1d8307522a8cbb4f07,47000.0,2016,7,27,2
93,M,53,13033baa9d294c3c9165a00d71b72614,96000.0,2017,9,27,2
94,F,59,15953663abf54181adf1fd4c39442b85,98000.0,2017,9,10,1
95,M,57,0ac5ffb0f1624297a453494b845e1a91,46000.0,2014,11,4,2
96,F,51,1a353048b0884fc5a0afa27677ef1e80,56000.0,2017,8,13,1
97,F,64,2cf5895bddf9467e878c6d51a622d5fb,37000.0,2017,10,20,1
98,M,71,6747dda08bed46298c23e05b64820a3a,57000.0,2017,1,29,2
99,F,64,f35b342b24734da18a830bb9329a4fbd,66000.0,2017,4,21,1
100,M,83,4c29d22467af4d7faa137c4eedd65340,46000.0,2018,1,27,2
101,M,26,e997a086fc13446da2aa9070d98d191a,71000.0,2017,12,11,2
